Fecha,m,y,i,p,remes,tc
ene-95,51199.701000 ,65.102300 ,37.250000 ,15.376991 ,254.572400 ,5.513300 
feb-95,49790.401000 ,60.294200 ,41.690000 ,16.028707 ,248.060500 ,5.685400 
mar-95,48489.697000 ,62.929900 ,69.540000 ,16.973617 ,287.364500 ,6.701900 
abr-95,47552.861000 ,59.239100 ,74.750000 ,18.326133 ,298.913500 ,6.299600 
may-95,46208.179000 ,61.176800 ,59.170000 ,19.092090 ,357.739600 ,5.962700 
jun-95,47023.826000 ,61.082300 ,47.250000 ,19.698024 ,352.369500 ,6.223200 
jul-95,47948.195000 ,59.779200 ,40.940000 ,20.099588 ,342.899300 ,6.139400 
ago-95,47695.904000 ,61.068200 ,35.140000 ,20.432981 ,362.273900 ,6.190900 
sep-95,47229.417000 ,60.847700 ,33.460000 ,20.855643 ,314.149200 ,6.302500 
oct-95,48479.548000 ,60.218200 ,40.290000 ,21.284762 ,324.503300 ,6.691100 
nov-95,53630.092000 ,63.060200 ,53.160000 ,21.809608 ,255.592200 ,7.658400 
dic-95,66808.632000 ,65.413500 ,48.620000 ,22.520167 ,274.288300 ,7.659700 
ene-96,57939.380000 ,64.597400 ,40.990000 ,23.329754 ,313.509100 ,7.476000 
feb-96,57416.223000 ,63.250300 ,38.580000 ,23.874262 ,281.925700 ,7.524000 
mar-96,59381.972000 ,65.004400 ,41.450000 ,24.399826 ,337.318500 ,7.568700 
abr-96,57020.629000 ,63.822000 ,35.210000 ,25.093450 ,393.387700 ,7.461700 
may-96,60448.057000 ,66.569000 ,28.450000 ,25.550842 ,413.542000 ,7.432600 
jun-96,61592.260000 ,65.578200 ,27.810000 ,25.966902 ,365.245100 ,7.560400 
jul-96,61319.811000 ,65.912200 ,31.250000 ,26.336031 ,373.670500 ,7.620600 
ago-96,60961.975000 ,65.364600 ,26.510000 ,26.686072 ,386.066600 ,7.511500 
sep-96,61285.735000 ,65.037700 ,23.900000 ,27.112751 ,339.253300 ,7.544000 
oct-96,64179.599000 ,67.824600 ,25.750000 ,27.451168 ,348.901000 ,7.726300 
nov-96,69354.352000 ,68.559000 ,29.570000 ,27.867083 ,315.601600 ,7.906000 
dic-96,83991.071000 ,69.268500 ,27.230000 ,28.759336 ,355.260900 ,7.872000 
ene-97,76721.284000 ,67.922300 ,23.550000 ,29.498886 ,338.647700 ,7.827100 
feb-97,75966.700000 ,66.015700 ,19.800000 ,29.994598 ,331.591800 ,7.800300 
mar-97,79259.987000 ,67.088700 ,21.660000 ,30.367889 ,381.907200 ,7.964700 
abr-97,77957.542000 ,70.189400 ,21.350000 ,30.695972 ,425.538600 ,7.907400 
may-97,80683.760000 ,71.253600 ,18.420000 ,30.976119 ,486.689400 ,7.900600 
jun-97,80338.598000 ,70.717600 ,20.170000 ,31.250957 ,453.559600 ,7.950200 
jul-97,82743.572000 ,70.483900 ,18.800000 ,31.523211 ,441.686300 ,7.873300 
ago-97,82412.963000 ,70.028500 ,18.930000 ,31.803502 ,428.902200 ,7.782800 
sep-97,80640.215000 ,70.751600 ,18.020000 ,32.199613 ,431.467800 ,7.780500 
oct-97,84679.228000 ,73.237300 ,17.920000 ,32.456941 ,421.668100 ,7.860300 
nov-97,91062.806000 ,72.757900 ,20.160000 ,32.820042 ,343.430700 ,8.268900 
dic-97,108735.629000 ,73.780400 ,18.850000 ,33.279875 ,379.755000 ,8.121900 
ene-98,98998.035000 ,72.281300 ,17.950000 ,34.003924 ,382.531700 ,8.217700 
feb-98,97929.388000 ,71.267600 ,18.740000 ,34.599238 ,366.398200 ,8.501400 
mar-98,95415.386000 ,75.307500 ,19.850000 ,35.004533 ,427.194900 ,8.567600 
abr-98,98682.378000 ,72.952400 ,19.030000 ,35.332042 ,439.995000 ,8.496500 
may-98,101306.512000 ,75.138000 ,17.910000 ,35.613481 ,520.373900 ,8.593400 
jun-98,99023.172000 ,74.645200 ,19.500000 ,36.034420 ,503.487600 ,8.913100 
jul-98,102686.377000 ,74.614500 ,20.080000 ,36.381878 ,494.325600 ,8.896000 
ago-98,101366.131000 ,73.479300 ,22.640000 ,36.731632 ,486.607000 ,9.363300 
sep-98,99913.243000 ,73.767300 ,40.800000 ,37.327376 ,476.290500 ,10.230700 
oct-98,104952.696000 ,74.464200 ,34.860000 ,37.862269 ,454.673900 ,10.153600 
nov-98,108649.728000 ,74.443400 ,32.120000 ,38.532786 ,460.692400 ,9.968200 
dic-98,131108.754000 ,75.677400 ,33.660000 ,39.472974 ,614.271000 ,9.905700 
ene-99,121597.697000 ,74.283800 ,32.130000 ,40.469770 ,399.642300 ,10.135100 
feb-99,118703.399000 ,72.709400 ,28.760000 ,41.013643 ,388.851100 ,9.993900 
mar-99,124616.058000 ,76.992100 ,23.470000 ,41.394684 ,464.897700 ,9.731600 
abr-99,118254.068000 ,74.329200 ,20.290000 ,41.774577 ,469.182800 ,9.418500 
may-99,122188.242000 ,76.923000 ,19.890000 ,42.025877 ,571.562000 ,9.410500 
jun-99,121793.638000 ,76.556700 ,21.080000 ,42.302006 ,521.922500 ,9.513900 
jul-99,127277.755000 ,76.312600 ,19.780000 ,42.581580 ,506.664200 ,9.365700 
ago-99,125463.460000 ,75.670000 ,20.540000 ,42.821255 ,532.099700 ,9.396600 
sep-99,127433.524000 ,76.247800 ,19.710000 ,43.235018 ,490.482900 ,9.335800 
oct-99,133978.825000 ,76.454700 ,17.870000 ,43.508851 ,474.506900 ,9.566700 
nov-99,140288.088000 ,77.670100 ,16.960000 ,43.895776 ,502.007300 ,9.398800 
dic-99,188718.250000 ,78.053500 ,16.450000 ,44.335516 ,587.735300 ,9.424900 
ene-00,157161.287000 ,77.930000 ,16.190000 ,44.930830 ,456.245600 ,9.487800 
feb-00,150126.022000 ,77.367300 ,15.810000 ,45.329380 ,447.187000 ,9.425200 
mar-00,152919.896000 ,80.358000 ,13.660000 ,45.580681 ,494.450200 ,9.287600 
abr-00,158846.323000 ,77.007600 ,12.930000 ,45.840018 ,498.830800 ,9.390300 
may-00,157679.406000 ,82.343300 ,14.180000 ,46.011379 ,590.749600 ,9.515800 
jun-00,165529.481000 ,81.541500 ,15.650000 ,46.283920 ,541.577500 ,9.829500 
jul-00,162172.830000 ,79.629700 ,13.730000 ,46.464466 ,557.598000 ,9.421200 
ago-00,157692.618000 ,81.190700 ,15.230000 ,46.719785 ,608.061200 ,9.270900 
sep-00,161376.238000 ,80.164900 ,15.060000 ,47.061072 ,568.549300 ,9.354000 
oct-00,162822.860000 ,80.809600 ,15.880000 ,47.385136 ,559.523500 ,9.531400 
nov-00,175112.072000 ,80.916200 ,17.560000 ,47.790288 ,583.121800 ,9.500400 
dic-00,208879.867000 ,79.498300 ,17.050000 ,48.307671 ,666.848500 ,9.465900 
ene-01,181718.698000 ,79.423500 ,17.890000 ,48.575476 ,654.982000 ,9.776600 
feb-01,175896.436000 ,76.419300 ,17.340000 ,48.543328 ,637.673700 ,9.704500 
mar-01,176028.084000 ,80.767900 ,15.800000 ,48.850888 ,718.055000 ,9.600600 
abr-01,174570.670000 ,77.531200 ,14.960000 ,49.097309 ,734.805800 ,9.326800 
